中双港35kv,,堡北,,陈家镇35kv,,红星站,,南门站,,新海站,,长江站,,竖河站,,汲浜站,,海门,,长兴,,电动车站,
47.187,-0.3852,23.112,11.556,27.1566,4.6224,20.8971,1.4445,63.9432,13.2894,13.0968,2.58084,17.8155,3.6594,57.1059,14.7339,25.4232,6.2595,452.61,0,0,0,5.0425757,1.524500786
47.04,-0.384,23.04,11.52,27.072,4.608,20.832,1.44,63.744,13.248,13.056,2.5728,17.76,3.648,56.928,14.688,25.344,6.24,451.2,0,0,0,5.061520859,1.645290564
46.844,-0.3824,22.944,11.472,26.9592,4.5888,20.7452,1.434,63.4784,13.1928,13.0016,2.56208,17.686,3.6328,56.6908,14.6268,25.2384,6.214,449.32,0,0,0,5.067851716,1.771217217
46.697,-0.3812,22.872,11.436,26.8746,4.5744,20.6801,1.4295,63.2792,13.1514,12.9608,2.55404,17.6305,3.6214,56.5129,14.5809,25.1592,6.1945,447.91,0,0,0,5.061520859,1.902020996
47.138,-0.3848,23.088,11.544,27.1284,4.6176,20.8754,1.443,63.8768,13.2756,13.0832,2.57816,17.797,3.6556,57.0466,14.7186,25.3968,6.253,452.14,0,0,0,5.0425757,2.037384756
47.579,-0.3884,23.304,11.652,27.3822,4.6608,21.0707,1.4565,64.4744,13.3998,13.2056,2.60228,17.9635,3.6898,57.5803,14.8563,25.6344,6.3115,456.37,0,0,0,5.011157885,2.176932995
48.02,-0.392,23.52,11.76,27.636,4.704,21.266,1.47,65.072,13.524,13.328,2.6264,18.13,3.724,58.114,14.994,25.872,6.37,460.6,0,0,0,4.967501529,2.320231588
48.461,-0.3956,23.736,11.868,27.8898,4.7472,21.4613,1.4835,65.6696,13.6482,13.4504,2.65052,18.2965,3.7582,58.6477,15.1317,26.1096,6.4285,464.83,0,0,0,4.911930311,2.466788256
48.559,-0.3964,23.784,11.892,27.9462,4.7568,21.5047,1.4865,65.8024,13.6758,13.4776,2.65588,18.3335,3.7658,58.7663,15.1623,26.1624,6.4415,465.77,0,0,0,4.844853479,2.616053811
48.657,-0.3972,23.832,11.916,28.0026,4.7664,21.5481,1.4895,65.9352,13.7034,13.5048,2.66124,18.3705,3.7734,58.8849,15.1929,26.2152,6.4545,466.71,0,0,0,4.766760831,2.76742422
48.755,-0.398,23.88,11.94,28.059,4.776,21.5915,1.4925,66.068,13.731,13.532,2.6666,18.4075,3.781,59.0035,15.2235,26.268,6.4675,467.65,0,0,0,4.67821676,2.9202435
48.853,-0.3988,23.928,11.964,28.1154,4.7856,21.6349,1.4955,66.2008,13.7586,13.5592,2.67196,18.4445,3.7886,59.1221,15.2541,26.3208,6.4805,468.59,0,0,0,4.579853466,3.073807445
48.363,-0.3948,23.688,11.844,27.8334,4.7376,21.4179,1.4805,65.5368,13.6206,13.4232,2.64516,18.2595,3.7506,58.5291,15.1011,26.0568,6.4155,463.89,0,0,0,4.472363442,3.22736819
47.873,-0.3908,23.448,11.724,27.5514,4.6896,21.2009,1.4655,64.8728,13.4826,13.2872,2.61836,18.0745,3.7126,57.9361,14.9481,25.7928,6.3505,459.19,0,0,0,4.356491376,3.380139576
47.383,-0.3868,23.208,11.604,27.2694,4.6416,20.9839,1.4505,64.2088,13.3446,13.1512,2.59156,17.8895,3.6746,57.3431,14.7951,25.5288,6.2855,454.49,0,0,0,4.233025575,3.531303277
46.844,-0.3824,22.944,11.472,26.9592,4.5888,20.7452,1.434,63.4784,13.1928,13.0016,2.56208,17.686,3.6328,56.6908,14.6268,25.2384,6.214,449.32,0,0,0,4.102789069,3.680015644
45.913,-0.3748,22.488,11.244,26.4234,4.4976,20.3329,1.4055,62.2168,12.9306,12.7432,2.51116,17.3345,3.5606,55.5641,14.3361,24.7368,6.0905,440.39,0,0,0,3.966630538,3.825415173
44.933,-0.3668,22.008,11.004,25.8594,4.4016,19.8989,1.3755,60.8888,12.6546,12.4712,2.45756,16.9645,3.4846,54.3781,14.0301,24.2088,5.9605,430.99,0,0,0,3.825415173,3.966630538
43.953,-0.3588,21.528,10.764,25.2954,4.3056,19.4649,1.3455,59.5608,12.3786,12.1992,2.40396,16.5945,3.4086,53.1921,13.7241,23.6808,5.8305,421.59,0,0,0,3.680015644,4.102789069
43.022,-0.3512,21.072,10.536,24.7596,4.2144,19.0526,1.317,58.2992,12.1164,11.9408,2.35304,16.243,3.3364,52.0654,13.4334,23.1792,5.707,412.66,0,0,0,3.531303277,4.233025575
42.238,-0.3448,20.688,10.344,24.3084,4.1376,18.7054,1.293,57.2368,11.8956,11.7232,2.31016,15.947,3.2756,51.1166,13.1886,22.7568,5.603,405.14,0,0,0,3.380139576,4.356491376
41.405,-0.338,20.28,10.14,23.829,4.056,18.3365,1.2675,56.108,11.661,11.492,2.2646,15.6325,3.211,50.1085,12.9285,22.308,5.4925,397.15,0,0,0,3.22736819,4.472363442
40.572,-0.3312,19.872,9.936,23.3496,3.9744,17.9676,1.242,54.9792,11.4264,11.2608,2.21904,15.318,3.1464,49.1004,12.6684,21.8592,5.382,389.16,0,0,0,3.073807445,4.579853466
